City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
31,Mariinsk,RU,2021-12-11 14:00:17,56.2139,87.7472,22.3,73,100,15.43
32,Sparta,US,2021-12-11 14:00:17,43.9441,-90.8129,30.61,92,100,19.6
33,Buala,SB,2021-12-11 13:55:02,-8.145,159.5921,80.15,85,100,6.02
34,Hermanus,ZA,2021-12-11 13:54:54,-34.4187,19.2345,74.89,63,100,22.68
35,Taltal,CL,2021-12-11 14:00:18,-25.4,-70.4833,66.34,66,0,8.03
36,Cherskiy,RU,2021-12-11 14:00:19,68.75,161.3,-42.66,100,77,3.96
37,Pemba,MZ,2021-12-11 14:00:19,-12.974,40.5178,83.3,65,3,14.2
38,Novosheshminsk,RU,2021-12-11 14:00:20,55.0651,51.2338,13.44,85,6,10.8
39,Firminopolis,BR,2021-12-11 14:00:20,-16.5819,-50.305,86.18,51,90,2.57
40,Castro,BR,2021-12-11 14:00:21,-24.7911,-50.0119,79.02,41,38,7.96
41,Saint-Philippe,RE,2021-12-11 13:56:17,-21.3585,55.7679,83.75,73,50,11.63
42,Yar-Sale,RU,2021-12-11 14:00:22,66.8333,70.8333,-1.48,95,40,10.47
43,Te Anau,NZ,2021-12-11 13:58:51,-45.4167,167.7167,38.68,90,13,4.05
44,Hobart,AU,2021-12-11 13:54:49,-42.8794,147.3294,51.06,73,90,0.0
45,Bredasdorp,ZA,2021-12-11 13:54:57,-34.5322,20.0403,70.29,43,95,20.45
46,Muros,ES,2021-12-11 14:01:23,42.7762,-9.0603,61.23,90,60,1.9
47,Faanui,PF,2021-12-11 13:56:16,-16.4833,-151.75,78.82,78,95,12.75
48,Thompson,CA,2021-12-11 13:57:39,55.7435,-97.8558,-11.04,84,20,4.61
49,Arraial Do Cabo,BR,2021-12-11 14:00:29,-22.9661,-42.0278,75.43,82,100,9.71
50,Bronnoysund,NO,2021-12-11 14:01:24,65.4625,12.1997,39.2,70,75,16.11
51,Butterworth,MY,2021-12-11 14:01:24,5.3991,100.3638,84.99,72,20,8.05
52,Nikolskoye,RU,2021-12-11 14:01:25,59.7035,30.7861,23.02,92,100,10.33
53,Rexburg,US,2021-12-11 13:56:39,43.826,-111.7897,26.42,62,100,11.83
54,Mar Del Plata,AR,2021-12-11 13:55:04,-38.0023,-57.5575,68.02,88,75,15.01
55,Ngunguru,NZ,2021-12-11 14:01:26,-35.6167,174.5,69.17,90,100,11.97
56,New Norfolk,AU,2021-12-11 13:54:59,-42.7826,147.0587,50.72,54,94,1.12
57,Isangel,VU,2021-12-11 14:01:26,-19.55,169.2667,79.92,85,99,8.81
58,Araure,VE,2021-12-11 14:01:27,9.5601,-69.2148,84.65,46,42,5.12
59,Novoagansk,RU,2021-12-11 14:01:27,61.9449,76.6625,8.78,92,100,15.32
60,Boa Vista,BR,2021-12-11 13:50:26,2.8197,-60.6733,82.38,74,75,9.22
61,Upernavik,GL,2021-12-11 13:58:57,72.7868,-56.1549,-1.1,92,100,12.82
62,Port Elizabeth,ZA,2021-12-11 13:52:21,-33.918,25.5701,72.1,78,75,20.71
63,Svetlaya,RU,2021-12-11 14:01:28,46.5389,138.3297,29.43,75,94,6.02
64,Pandi,PH,2021-12-11 14:01:29,14.8872,120.8572,81.1,72,95,14.81
65,Taldan,RU,2021-12-11 14:01:29,53.6667,124.8,4.64,93,100,2.71
66,Nieuw Amsterdam,SR,2021-12-11 14:01:29,5.8833,-55.0833,82.15,88,100,7.81
67,Hilo,US,2021-12-11 13:54:58,19.7297,-155.09,73.27,46,90,9.22
68,Dikson,RU,2021-12-11 13:56:19,73.5069,80.5464,-13.63,82,100,4.72
69,Sur,OM,2021-12-11 14:01:30,22.5667,59.5289,72.82,56,48,5.86
70,Saint George,US,2021-12-11 14:00:20,37.1041,-113.5841,31.35,62,1,6.91
71,Imbituba,BR,2021-12-11 14:01:31,-28.24,-48.6703,82.81,61,44,4.12
